,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
127,PNJ,88.5,2021-04-07,PNJ,88.1,2021-04-07,0.4000000000000057,1.0
128,PNJ,89.0,2021-04-06,PNJ,88.8,2021-04-06,0.20000000000000284,1.0
129,PNJ,88.8,2021-04-05,PNJ,88.5,2021-04-05,0.29999999999999716,1.0
130,PNJ,88.7,2021-04-02,PNJ,86.0,2021-04-02,2.700000000000003,1.0
131,PNJ,85.5,2021-04-01,PNJ,84.5,2021-04-01,1.0,1.0
132,PNJ,84.5,2021-03-31,PNJ,84.5,2021-03-31,0.0,3.0
133,PNJ,84.5,2021-03-30,PNJ,87.0,2021-03-30,-2.5,2.0
134,PNJ,85.0,2021-03-29,PNJ,85.0,2021-03-29,0.0,3.0
135,PNJ,84.9,2021-03-26,PNJ,83.9,2021-03-26,1.0,1.0
136,PNJ,85.0,2021-03-25,PNJ,85.5,2021-03-25,-0.5,2.0
137,PNJ,84.1,2021-03-24,PNJ,84.3,2021-03-24,-0.20000000000000284,2.0
138,PNJ,84.2,2021-03-23,PNJ,84.2,2021-03-23,0.0,3.0
139,PNJ,84.2,2021-03-22,PNJ,84.6,2021-03-22,-0.3999999999999915,2.0
140,PNJ,84.6,2021-03-19,PNJ,84.0,2021-03-19,0.5999999999999943,1.0
141,PNJ,84.9,2021-03-18,PNJ,83.7,2021-03-18,1.2000000000000028,1.0
142,PNJ,83.6,2021-03-17,PNJ,83.9,2021-03-17,-0.30000000000001137,2.0
143,PNJ,83.5,2021-03-16,PNJ,83.9,2021-03-16,-0.4000000000000057,2.0
144,PNJ,84.1,2021-03-15,PNJ,84.5,2021-03-15,-0.4000000000000057,2.0
145,PNJ,83.6,2021-03-12,PNJ,84.2,2021-03-12,-0.6000000000000085,2.0
146,PNJ,84.0,2021-03-11,PNJ,84.5,2021-03-11,-0.5,2.0
147,PNJ,83.6,2021-03-10,PNJ,83.9,2021-03-10,-0.30000000000001137,2.0
148,PNJ,83.5,2021-03-09,PNJ,83.1,2021-03-09,0.4000000000000057,1.0
149,PNJ,83.6,2021-03-08,PNJ,83.8,2021-03-08,-0.20000000000000284,2.0
150,PNJ,83.8,2021-03-05,PNJ,82.9,2021-03-05,0.8999999999999915,1.0
151,PNJ,83.8,2021-03-04,PNJ,86.0,2021-03-04,-2.200000000000003,2.0
152,PNJ,84.6,2021-03-03,PNJ,85.0,2021-03-03,-0.4000000000000057,2.0
153,PNJ,84.0,2021-03-02,PNJ,85.0,2021-03-02,-1.0,2.0
